tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-life-stage,animal-sex,attachment-type,deploy-on-latitude,deploy-on-longitude,deployment-id,manipulation-type,study-site,tag-manufacturer-name,tag-model,tag-readout-method
2007CA-ST15-10842,2007CA-Bmu-10842,Balaenoptera musculus,2007-09-06 22:41:00.000,2007-09-18 12:52:22.000,adult, ,implant,34.149,-119.986,2007CA-10842,none,"Santa Barbara Channel, CA","Telonics, Inc",ST15,satellite
2007CA-ST15-04172,2007CA-Bmu-04172,Balaenoptera musculus,2007-09-06 22:56:00.000,2007-10-04 05:41:51.000,adult,m,implant,34.146,-119.973,2007CA-04172,none,"Santa Barbara Channel, CA","Telonics, Inc",ST15,satellite
2007CA-ST15-23043,2007CA-Bmu-23043,Balaenoptera musculus,2007-09-06 23:33:00.000,2008-02-01 12:14:14.000,adult,f,implant,34.149,-119.984,2007CA-23043,none,"Santa Barbara Channel, CA","Telonics, Inc",ST15,satellite
2007CA-ST15-01385,2007CA-Bmu-01385,Balaenoptera musculus,2007-09-07 00:09:00.000,2008-03-26 12:23:37.000,adult,f,implant,34.15,-120.018,2007CA-01385,none,"Santa Barbara Channel, CA","Telonics, Inc",ST15,satellite
2007CA-ST15-00831,2007CA-Bmu-00831,Balaenoptera musculus,2007-09-07 01:05:00.000,2008-02-03 05:11:22.000,adult,m,implant,34.139,-120.041,2007CA-00831,none,"Santa Barbara Channel, CA","Telonics, Inc",ST15,satellite
2007CA-ST15-10838,2007CA-Bmu-10838,Balaenoptera musculus,2007-09-07 21:46:00.000,2008-03-02 05:38:20.000,adult,f,implant,34.145,-120.027,2007CA-10838,none,"Santa Barbara Channel, CA","Telonics, Inc",ST15,satellite
2007CA-ST15-00847,2007CA-Bmu-00847,Balaenoptera musculus,2007-09-07 23:42:00.000,2008-01-04 21:59:17.000,adult,m,implant,34.13,-120.024,2007CA-00847,none,"Santa Barbara Channel, CA","Telonics, Inc",ST15,satellite
2007CA-ST15-10836,2007CA-Bmu-10836,Balaenoptera musculus,2007-09-08 17:37:00.000,2008-05-16 05:30:10.000,adult,f,implant,34.14,-120.05,2007CA-10836,none,"Santa Barbara Channel, CA","Telonics, Inc",ST15,satellite
2007CA-ST15-23034,2007CA-Bmu-23034,Balaenoptera musculus,2007-09-09 17:44:00.000,2007-11-06 00:17:27.000,adult,f,implant,34.135,-120.088,2007CA-23034,none,"Santa Barbara Channel, CA","Telonics, Inc",ST15,satellite
2007CA-ST15-00835,2007CA-Bmu-00835,Balaenoptera musculus,2007-09-09 19:39:00.000,2007-10-14 18:59:54.000,adult,f,implant,34.118,-120.076,2007CA-00835,none,"Santa Barbara Channel, CA","Telonics, Inc",ST15,satellite
2007CA-MK10-00827,2007CA-Bmu-00827,Balaenoptera musculus,2007-09-09 20:51:00.000,2007-09-10 05:35:10.000,adult,f,implant,34.122,-120.048,2007CA-00827,none,"Santa Barbara Channel, CA","Wildlife Computers, Inc",MK10,satellite
2007CA-ST15-00836,2007CA-Bmu-00836,Balaenoptera musculus,2007-09-17 15:44:00.000,2007-11-06 10:45:53.000,adult, ,implant,34.116,-120.083,2007CA-00836,none,"Santa Barbara Channel, CA","Telonics, Inc",ST15,satellite
2007CA-ST15-05801,2007CA-Bmu-05801,Balaenoptera musculus,2007-09-17 21:14:00.000,2008-02-21 00:01:46.000,adult, ,implant,34.134,-120.002,2007CA-05801,none,"Santa Barbara Channel, CA","Telonics, Inc",ST15,satellite
2008CR-ST15-01388,2008CR-Bmu-01388,Balaenoptera musculus,2008-01-14 05:00:00.000,2008-06-13 19:08:34.000,adult,m,implant,8.767,-96.907,2008CR-01388,none,"Costa Rica Dome, Eastern Pacific","Telonics, Inc",ST15,satellite
2008CR-ST15-00846,2008CR-Bmu-00846,Balaenoptera musculus,2008-01-17 16:17:00.000,2008-07-31 11:46:47.000,adult, ,implant,9.782,-97.119,2008CR-00846,none,"Costa Rica Dome, Eastern Pacific","Telonics, Inc",ST15,satellite
2008CA-ST15-00825,2008CA-Bmu-00825,Balaenoptera musculus,2008-07-24 17:53:00.000,2009-04-10 12:34:34.000,adult,f,implant,34.119,-120.033,2008CA-00825,none,"Santa Barbara Channel, CA","Telonics, Inc",ST15,satellite
2008CA-ST15-00830,2008CA-Bmu-00830,Balaenoptera musculus,2008-07-25 23:45:00.000,2008-11-12 21:09:23.000,adult,m,implant,34.121,-120.068,2008CA-00830,none,"Santa Barbara Channel, CA","Telonics, Inc",ST15,satellite
2008CA-ST15-05644,2008CA-Bmu-05644,Balaenoptera musculus,2008-07-26 02:05:00.000,2008-09-03 05:06:40.000,adult, ,implant,34.115,-120.052,2008CA-05644,none,"Santa Barbara Channel, CA","Telonics, Inc",ST15,satellite
2008CA-ST15-05701,2008CA-Bmu-05701,Balaenoptera musculus,2008-07-26 21:10:00.000,2008-07-27 18:19:44.000,adult, ,implant,34.124,-119.988,2008CA-05701,none,"Santa Barbara Channel, CA","Telonics, Inc",ST15,satellite
2008CA-ST15-00840,2008CA-Bmu-00840,Balaenoptera musculus,2008-07-27 15:34:00.000,2008-10-31 21:36:18.000,adult, ,implant,34.122,-120.024,2008CA-00840,none,"Santa Barbara Channel, CA","Telonics, Inc",ST15,satellite
2008CA-ST15-01386,2008CA-Bmu-01386,Balaenoptera musculus,2008-07-27 16:26:00.000,2009-02-24 21:23:10.000,adult, ,implant,34.123,-120.038,2008CA-01386,none,"Santa Barbara Channel, CA","Telonics, Inc",ST15,satellite
2008CA-ST15-05878,2008CA-Bmu-05878,Balaenoptera musculus,2008-07-27 17:31:00.000,2008-08-27 05:57:10.000,adult, ,implant,34.124,-120.032,2008CA-05878,none,"Santa Barbara Channel, CA","Telonics, Inc",ST15,satellite
2008CA-ST15-04176,2008CA-Bmu-04176,Balaenoptera musculus,2008-07-27 17:48:00.000,2009-03-18 13:24:36.000,adult, ,implant,34.122,-120.038,2008CA-04176,none,"Santa Barbara Channel, CA","Telonics, Inc",ST15,satellite
2008CA-ST15-04177,2008CA-Bmu-04177,Balaenoptera musculus,2008-07-27 22:15:00.000,2008-10-23 21:22:51.000,adult, ,implant,34.128,-120.095,2008CA-04177,none,"Santa Barbara Channel, CA","Telonics, Inc",ST15,satellite
2008CA-ST15-10821,2008CA-Bmu-10821,Balaenoptera musculus,2008-07-28 00:14:00.000,2008-10-31 21:35:13.000,adult,m,implant,34.112,-120.141,2008CA-10821,none,"Santa Barbara Channel, CA","Telonics, Inc",ST15,satellite
2008CA-ST15-10839,2008CA-Bmu-10839,Balaenoptera musculus,2008-07-28 23:00:00.000,2008-09-27 13:38:26.000,adult,m,implant,34.135,-120.021,2008CA-10839,none,"Santa Barbara Channel, CA","Telonics, Inc",ST15,satellite
